S_ID,ID,YEAR,Station Name,TP,S,T,R,SID
S14852_2002,14852,2002,Pumpkin Ground Brook,0.0253,0.301980198,0.066006601,1.793721973,Pumpkin Ground Brook_14852
S14853_2002,14853,2002,Norwalk River,0.101,0.016611296,0.651162791,9.751243781,Norwalk River_14853
S14855_2002,14855,2002,Neck River,0.0119,0.431404959,0.031404959,0.678571429,Neck River_14855
S14856_2002,14856,2002,Pond Meadow Brook,0.01295,0.420361248,0.001642036,0.038910506,Pond Meadow Brook_14856
S14857_2002,14857,2002,Beaver Meadow Brook,0.0158,0.416803954,0.108731466,2.068965517,Beaver Meadow Brook_14857
S14858_2002,14858,2002,Flat Brook,0.0177,0.179104478,0.421227197,7.016574586,Flat Brook_14858
S14859_2002,14859,2002,Shunock River,0.016,0.13410596,0.304635762,6.943396226,Shunock River_14859
S14860_2002,14860,2002,Flat Brook,0.0193,0.679401993,0.071428571,0.951327434,Flat Brook_14860
S14861_2002,14861,2002,Latimer Brook,0.0154,0.060064935,0.061688312,5.066666667,Latimer Brook_14861
S14862_2002,14862,2002,Bentley Brook,0.0225,0.700483092,0.069243156,0.89958159,Bentley Brook_14862
S14863_2002,14863,2002,Rocky Brook,0.0247,0.591735537,0.003305785,0.055555556,Rocky Brook_14863
S14865_2002,14865,2002,Skungamaug River,0.0376,0.235489221,0.149253731,3.879310345,Skungamaug River_14865
S14866_2002,14866,2002,Stickney Hill Brook,0.0307,0.11589404,0.026490066,1.860465116,Stickney Hill Brook_14866
S14866_2014,14866,2014,Stickney Hill Brook,0.026666667,0.744939271,0.056680162,0.707070707,Stickney Hill Brook_14866
S14878_2002,14878,2002,Mashamoquet Brook,0.03035,0.231023102,0.204620462,4.696969697,Mashamoquet Brook_14878
S14879_2002,14879,2002,Hop River,0.01675,0.115823817,0.086460033,4.274193548,Hop River_14879
S14880_2002,14880,2002,Sages Ravine Brook,0.01,0.258706468,0.177446103,4.068441065,Sages Ravine Brook_14880
S14888_2002,14888,2002,Ekonk Brook,0.0255,0.00330033,0.625412541,9.947506562,Ekonk Brook_14888
S14996_2003,14996,2003,Freshwater Brook,0.0685,0.035,0.533333333,9.384164223,Freshwater Brook_14996
S14997_2003,14997,2003,East Branch Salmon Brook,0.029666667,0.04,0.611666667,9.386189258,East Branch Salmon Brook_14997
S14998_2003,14998,2003,Still Brook,0.016,0.363333333,0.08,1.804511278,Still Brook_14998
S14999_2003,14999,2003,North Running Brook,0.098666667,0.168333333,0.633333333,7.9002079,North Running Brook_14999
S15000_2003,15000,2003,Hollenbeck River,0.030666667,0.103333333,0.318333333,7.549407115,Hollenbeck River_15000
S15001_2003,15001,2003,Beach Brook,0.009,0.59,0.021666667,0.354223433,Beach Brook_15001
S15003_2003,15003,2003,Wappoquia Brook,0.071666667,0.113333333,0.203333333,6.421052632,Wappoquia Brook_15003
S15003_2014,15003,2014,Wappoquia Brook,0.034333333,0.026622296,0.347753744,9.288888889,Wappoquia Brook_15003
S15004_2003,15004,2003,Housatonic River,0.021333333,0.085,0.561666667,8.68556701,Housatonic River_15004
S15004_2004,15004,2004,Housatonic River,0.0275,0.298333333,0.385,5.634146341,Housatonic River_15004
S15004_2014,15004,2014,Housatonic River,0.032,0.001647446,0.039538715,9.6,Housatonic River_15004
S15005_2003,15005,2003,Bantam River,0.015,0.225,0.121666667,3.509615385,Bantam River_15005
S15006_2003,15006,2003,Hockanum River,0.256666667,0.006655574,0.698835275,9.905660377,Hockanum River_15006
S15007_2003,15007,2003,Sawmill Brook,0.022333333,0.1,0.073333333,4.230769231,Sawmill Brook_15007
S15008_2003,15008,2003,Moosup River,0.035666667,0.035,0.401666667,9.198473282,Moosup River_15008
S15010_2003,15010,2003,Cabin Brook,0.022666667,0.506666667,0.038333333,0.703363914,Cabin Brook_15010
S15011_2003,15011,2003,Crooked Brook,0.029333333,0.796666667,0.033333333,0.401606426,Crooked Brook_15011
S15012_2003,15012,2003,Pomperaug River,0.025,0.018333333,0.441666667,9.601449275,Pomperaug River_15012
S15013_2003,15013,2003,Mill River,0.035,0.063333333,0.516666667,8.908045977,Mill River_15013
S15013_2010,15013,2010,Mill River,0.027916667,0.062015504,0.493023256,8.882681564,Mill River_15013
S15014_2003,15014,2003,Clark Creek,0.022,0.676666667,0.001666667,0.024570025,Clark Creek_15014
S15015_2003,15015,2003,Seth Williams Brook,0.118,0.095,0.185,6.607142857,Seth Williams Brook_15015
S15016_2003,15016,2003,Titicus River,0.103666667,0.043333333,0.523333333,9.235294118,Titicus River_15016
S15017_2003,15017,2003,Fivemile Brook,0.049166667,0.205980066,0.544850498,7.256637168,Fivemile Brook_15017
S15018_2003,15018,2003,Farm River,0.032,0.013333333,0.668333333,9.804400978,Farm River_15018
S15020_2003,15020,2003,Eightmile River,0.0205,0.608333333,0.213333333,2.596348884,Eightmile River_15020
S15022_2003,15022,2003,West Branch Saugatuck River,0.081833333,0.028333333,0.513333333,9.476923077,West Branch Saugatuck River_15022
S15023_2003,15023,2003,Farm River,0.033666667,0.048333333,0.185,7.928571429,Farm River_15023
S15024_2003,15024,2003,Wood Creek,0.0295,0.048333333,0.093333333,6.588235294,Wood Creek_15024
S15051_2014,15051,2014,Durkee Brook,0.089,0.02800659,0.484349259,9.453376206,Durkee Brook_15051
S15087_2011,15087,2011,Muddy River,0.035833333,0.100813008,0.681300813,8.711018711,Muddy River_15087
S15151_2011,15151,2011,Little River,0.042,0.037766831,0.26272578,8.743169399,Little River_15151
S15169_2012,15169,2012,Roaring Brook,0.024,0.155216285,0.247667515,6.147368421,Roaring Brook_15169
S15176_2014,15176,2014,Natchaug River,0.018666667,0.018209408,0.050075873,7.333333333,Natchaug River_15176
S15196_2004,15196,2004,Quinnipiac River,0.341318182,0.003333333,0.755,9.956043956,Quinnipiac River_15196
S15201_2013,15201,2013,Spoonshop Brook,0.02,0.139767055,0.494176373,7.795275591,Spoonshop Brook_15201
S15304_2014,15304,2014,Eagleville Brook,0.019666667,0.263934426,0.424590164,6.166666667,Eagleville Brook_15304
S15315_2012,15315,2012,Burnhams Brook,0.01,0.786945813,0.025862069,0.318181818,Burnhams Brook_15315
S15406_2012,15406,2012,Little Brook,0.0255,0.023289665,0.320232897,9.322033898,Little Brook_15406
S15413_2012,15413,2012,Belcher Brook,0.025,0.026622296,0.334442596,9.262672811,Belcher Brook_15413
S15479_2012,15479,2012,Quinnipiac River,0.0375,0.031404959,0.319008264,9.103773585,Quinnipiac River_15479
S15479_2013,15479,2013,Quinnipiac River,0.066,0.018333333,0.465,9.620689655,Quinnipiac River_15479
S15479_2014,15479,2014,Quinnipiac River,0.042,0.001612903,0.190322581,9.915966387,Quinnipiac River_15479
S15479_2015,15479,2015,Quinnipiac River,0.0625,0.106666667,0.406666667,7.922077922,Quinnipiac River_15479
S15520_2014,15520,2014,Bonemill Brook,0.03,0.667721519,0.061708861,0.845986985,Bonemill Brook_15520
S15531_2011,15531,2011,Leadmine Brook,0.011,0.67816092,0.091954023,1.194029851,Leadmine Brook_15531
S15536_2004,15536,2004,Broad Brook,0.075,0.003333333,0.621666667,9.946666667,Broad Brook_15536
S15571_2011,15571,2011,Cherry Brook,0.0105,0.237241379,0.062068966,2.073732719,Cherry Brook_15571
S15703_2012,15703,2012,West Branch Salmon Brook,0.00775,0.429787234,0.012765957,0.288461538,West Branch Salmon Brook_15703
S15792_2011,15792,2011,West Branch Farmington River,0.008,0.725913621,0.014950166,0.201793722,West Branch Farmington River_15792
S15796_2010,15796,2010,PENDLETON HILL BROOK,0.023071429,0.345697329,0.102373887,2.284768212,PENDLETON HILL BROOK_15796
S15796_2013,15796,2013,PENDLETON HILL BROOK,0.02325,0.633333333,0.028333333,0.428211587,PENDLETON HILL BROOK_15796
S15837_2012,15837,2012,Farmington River,0.014,0.463934426,0.090163934,1.627218935,Farmington River_15837
S15858_2013,15858,2013,Cricker Brook,0.022,0.336666667,0.17,3.355263158,Cricker Brook_15858
S15901_2011,15901,2011,Pond Meadow Brook,0.020333333,0.353037767,0.264367816,4.281914894,Pond Meadow Brook_15901
S15964_2012,15964,2012,Thompson Brook,0.021,0.131280389,0.397082658,7.515337423,Thompson Brook_15964
S15993_2015,15993,2015,Naugatuck River,0.0365,0.408566722,0.327841845,4.451901566,Naugatuck River_15993
S16022_2015,16022,2015,Weekeepeemee River,0.023666667,0.455,0.071666667,1.360759494,Weekeepeemee River_16022
S16049_2015,16049,2015,Naugatuck River,0.0465,0.197044335,0.344827586,6.363636364,Naugatuck River_16049
S16066_2011,16066,2011,Farmington River,0.067,0.146496815,0.092356688,3.866666667,Farmington River_16066
S16103_2011,16103,2011,Guinea Brook,0.009,0.430213465,0.057471264,1.178451178,Guinea Brook_16103
S16110_2011,16110,2011,Mott Hill Brook,0.0115,0.526315789,0.007974482,0.149253731,Mott Hill Brook_16110
S16112_2010,16112,2010,Hemlock Valley Brook,0.018166667,0.309486781,0.122861586,2.841726619,Hemlock Valley Brook_16112
S16114_2011,16114,2011,Rugg Brook,0.0185,0.738410596,0.029801325,0.387931034,Rugg Brook_16114
S16121_2011,16121,2011,Flat Brook,0.003,0.291262136,0.006472492,0.217391304,Flat Brook_16121
S16122_2012,16122,2012,Early Brook,0.0145,0.73255814,0.021802326,0.289017341,Early Brook_16122
S16125_2015,16125,2015,Whiting Brook,0.008,0.529118136,0.126455907,1.92893401,Whiting Brook_16125
S16127_2011,16127,2011,Jakes Brook,0.011,0.212171053,0.3125,5.956112853,Jakes Brook_16127
S16128_2014,16128,2014,Stonehouse Brook,0.016,0.153724247,0.031695721,1.709401709,Stonehouse Brook_16128
S16131_2010,16131,2010,Chatfield Hollow Brook,0.0168,0.2625,0.040625,1.340206186,Chatfield Hollow Brook_16131
S16139_2010,16139,2010,Brown Brook,0.014222222,0.308457711,0.097844113,2.408163265,Brown Brook_16139
S16143_2011,16143,2011,Little River,0.013,0.593023256,0.139534884,1.904761905,Little River_16143
S16144_2013,16144,2013,Aspetuck River,0.02,0.508333333,0.221666667,3.03652968,Aspetuck River_16144
S16191_2015,16191,2015,Hall Meadow Brook,0.016666667,0.579470199,0.099337748,1.463414634,Hall Meadow Brook_16191
S16239_2012,16239,2012,West Branch Farmington River,0.0085,0.264021888,0.012311902,0.445544554,West Branch Farmington River_16239
S16258_2012,16258,2012,West Branch Farmington River,0.007,0.808108108,0,0,West Branch Farmington River_16258
S16268_2015,16268,2015,Farmill River,0.034333333,0.165845649,0.095238095,3.647798742,Farmill River_16268
S16311_2012,16311,2012,Reservoir Brook,0.008,0.060842434,0.118564743,6.608695652,Reservoir Brook_16311
S16335_2011,16335,2011,Nonewaug River,0.0295,0.524115756,0.217041801,2.928416486,Nonewaug River_16335
S16370_2010,16370,2010,Bunnell Brook,0.013142857,0.352365416,0.10766721,2.340425532,Bunnell Brook_16370
S16385_2012,16385,2012,Beaver Brook,0.008666667,0.470246734,0.271407837,3.659491194,Beaver Brook_16385
S16387_2011,16387,2011,Hurricane Brook,0.0085,0.548760331,0,0,Hurricane Brook_16387
S16428_2013,16428,2013,Little River,0.014,0.468333333,0.248333333,3.465116279,Little River_16428
S16440_2012,16440,2012,Fawn Brook,0.045666667,0.024691358,0.75154321,9.681908549,Fawn Brook_16440
S16505_2012,16505,2012,BIBLE ROCK BROOK,0.014333333,0.552469136,0.007716049,0.137741047,BIBLE ROCK BROOK_16505
S16524_2015,16524,2015,BOG HOLLOW BROOK,0.029666667,0.037520392,0.662316476,9.463869464,BOG HOLLOW BROOK_16524
S16583_2013,16583,2013,COMSTOCK BROOK,0.028333333,0.176666667,0.468333333,7.260981912,COMSTOCK BROOK_16583
S16588_2013,16588,2013,COOPER POND BROOK,0.044,0.288333333,0.436666667,6.022988506,COOPER POND BROOK_16588
S16599_2015,16599,2015,CROSS BROOK,0.019666667,0.058536585,0.273170732,8.235294118,CROSS BROOK_16599
S16603_2012,16603,2012,DAY MEADOW BROOK,0.015,0.711934156,0.027434842,0.371057514,DAY MEADOW BROOK_16603
S16679_2014,16679,2014,Fry Brook,0.04375,0.077922078,0.225649351,7.43315508,Fry Brook_16679
S16758_2012,16758,2012,HOWELL'S BROOK,0.016333333,0.944444444,0.003003003,0.031695721,HOWELL'S BROOK_16758
S16833_2014,16833,2014,McCarthys Brook,0.034,0.111570248,0.157024793,5.846153846,McCarthys Brook_16833
S16846_2012,16846,2012,MILL CREEK,0.016666667,0.868253968,0,0,MILL CREEK_16846
S16851_2013,16851,2013,MILL RIVER,0.0335,0.098333333,0.173333333,6.380368098,MILL RIVER_16851
S16881_2013,16881,2013,MUNGER BROOK,0.021,0.485,0.105,1.779661017,MUNGER BROOK_16881
S16885_2014,16885,2014,Natchaug River,0.018,0.073333333,0.011666667,1.37254902,Natchaug River_16885
S16928_2014,16928,2014,Obwebetuck Brook,0.023,0.053658537,0.120325203,6.91588785,Obwebetuck Brook_16928
S16972_2015,16972,2015,PITCH BROOK,0.012666667,0.50330033,0.077557756,1.335227273,PITCH BROOK_16972
S16984_2015,16984,2015,PURCHASE BROOK,0.016,0.291181364,0.173044925,3.727598566,PURCHASE BROOK_16984
S17061_2013,17061,2013,SPRING LOT BROOK,0.026,0.486666667,0.006666667,0.135135135,SPRING LOT BROOK_17061
